Name,Position X,Position Y,Position Z
ESC,0.00,0.00,0.00
F1,38.00,0.00,0.00
F2,57.00,0.00,0.00
F3,76.00,0.00,0.00
F4,95.00,0.00,0.00
F5,123.50,0.00,0.00
F6,142.50,0.00,0.00
F7,161.50,0.00,0.00
F8,180.50,0.00,0.00
F9,209.00,0.00,0.00
F10,228.00,0.00,0.00
F11,247.00,0.00,0.00
F12,266.00,0.00,0.00
~,0.00,24.00,0.00
1,19.00,24.00,0.00
2,38.00,24.00,0.00
3,57.00,24.00,0.00
4,76.00,24.00,0.00
5,95.00,24.00,0.00
6,114.00,24.00,0.00
7,133.00,24.00,0.00
8,152.00,24.00,0.00
9,171.00,24.00,0.00
0,190.00,24.00,0.00
-,209.00,24.00,0.00
=,228.00,24.00,0.00
BACKSPACE,256.50,24.00,0.00
TAB,4.50,43.00,0.00
Q,28.00,43.00,0.00
W,47.00,43.00,0.00
E,66.00,43.00,0.00
R,85.00,43.00,0.00
T,104.00,43.00,0.00
Y,123.00,43.00,0.00
U,142.00,43.00,0.00
I,161.00,43.00,0.00
O,180.00,43.00,0.00
P,199.00,43.00,0.00
[,218.00,43.00,0.00
],237.00,43.00,0.00
\,261.00,43.00,0.00
CAPSLOCK,7.00,62.00,0.00
A,33.00,62.00,0.00
S,52.00,62.00,0.00
D,71.00,62.00,0.00
F,90.00,62.00,0.00
G,109.00,62.00,0.00
H,128.00,62.00,0.00
J,147.00,62.00,0.00
K,166.00,62.00,0.00
L,185.00,62.00,0.00
;,204.00,62.00,0.00
',223.00,62.00,0.00
ENTER,254.00,62.00,0.00
SHIFT-LEFT,12.00,81.00,0.00
Z,43.00,81.00,0.00
X,62.00,81.00,0.00
C,81.00,81.00,0.00
V,100.00,81.00,0.00
B,119.00,81.00,0.00
N,138.00,81.00,0.00
M,157.00,81.00,0.00
<,176.00,81.00,0.00
.,195.00,81.00,0.00
/,214.00,81.00,0.00
SHIFT-RIGHT,249.50,81.00,0.00
CTRL-LEFT,2.50,100.00,0.00
WIN,26.50,100.00,0.00
ALT-LEFT,50.50,100.00,0.00
SPACE,121.50,100.00,0.00
ALT-RIGHT,192.50,100.00,0.00
FN,216.50,100.00,0.00
BLANK,240.50,100.00,0.00
CTRL-RIGHT,264.50,100.00,0.00
